"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"1",25.6829,24.0903,22.6789,25.4892,NA,NA,NA,24.5829,NA,27.8243,17.5504,5.8634,26.2328,4.60106,22.9706,25.0013,6.48669,19.4553,21.8141,15.0678,23.8768,25.3453,2.30543,11.8348,44.4701,42.3425,55.3734,6.66769,NA,18.6107,11.5515,48.8869,21.6934,NA,12.0582,NA,15.1659,82.1798,36.1382,16.5356,14.4556,6.87843,19.7682,75.5696,48.4929,10.6078,33.2598,88.6609,56.5794,16.2316,46.4798,26.7323,79.1688,3.57115,43.8877,10.312915,35.375,NA,77.578,15.6431,16.229,3.58398,83.4337,6.62123,9.32674,24.9048,90.5506,20.1097,46.0932,11.1282,67.1935,76.8009,16.1468,99.2262,30.1124,21.6817,50.3675,43.1836,4.58925
"2",17.2626,24.9561,29.2545,17.2738,NA,NA,NA,NA,NA,27.7899,18.516,5.34041,28.3731,3.45427,22.3538,30.1732,6.27633,20.9843,25.4884,9.58453,27.0074,19.6787,NA,NA,27.7737,20.9652,17.9426,6.71497,NA,17.7371,7.67465,31.4498,11.6529,NA,13.0262,NA,10.1799,54.3519,31.6009,14.5849,14.9114,6.14948,10.3915,91.5249,5.46913,12.0234,34.4005,87.8123,38.198,9.15498,43.2626,25.4068,31.8005,4.13967,28.69615,5.71806,9.93494,22.1683,NA,14.2423,12.9197,1.8904,82.2631,7.46631,7.1241,27.2219,NA,19.4988,NA,NA,69.8106,53.0776,18.8793,92.5382,27.9737,15.4808,56.6867,27.108,3.905
"3",24.9952,26.0687,29.4157,17.7182,NA,NA,NA,25.7563,NA,26.4941,16.587,6.58041,19.8373,3.8429,20.8325,26.0372,7.1818,18.4423,21.6613,7.90131,NA,23.7685,2.28365,NA,31.5572,21.8219,56.5283,9.91731,NA,22.6068,5.97329,36.0005,43.9577,NA,15.7013,NA,12.949,70.1544,42.0701,18.6292,7.03429,7.98958,18.2179,87.7924,5.51274,12.1215,32.4957,88.1331,31.185,6.1121,37.5957,23.5335,55.3351,2.71541,27.29155,5.371305,36.6991,22.8551,NA,14.2033,14.0583,5.18469,81.8241,7.32715,10.6055,21.7087,NA,14.7446,NA,NA,24.8133,29.5212,19.1379,97.6229,25.7893,12.369,54.1941,31.8235,5.9261
"4",25.4787,24.6959,30.407,24.9666,NA,NA,NA,23.0011,NA,28.3746,18.1081,10.4946,27.0394,5.3497,24.5573,30.82,3.04241,22.0289,23.0019,7.70182,25.6302,28.3659,1.83935,NA,65.5211,51.4812,59.2027,11.5,NA,15.2938,10.5606,51.0162,54.21,NA,15.4019,NA,13.0605,55.8522,38.3089,15.9277,14.1606,7.89148,25.735,17.355,67.6957,15.5315,42.9448,92.9399,46.6821,19.2645,46.6886,28.7297,25.5783,4.03351,51.6521,6.853915,37.2338,NA,NA,16.9957,19.3693,4.23135,87.5025,5.82113,8.99185,24.8097,NA,20.4783,NA,NA,22.0086,76.7946,17.055,91.5135,27.9494,16.5503,14.3177,74.8977,4.70529
"5",25.3686,25.2401,29.4734,24.6519,NA,NA,NA,24.2888,NA,30.5553,16.1779,8.6163,18.8124,1.4815,19.9701,28.4068,2.08982,19.3344,17.7892,7.02785,23.7044,23.1367,5.10266,NA,44.9164,41.4454,60.9935,7.26011,NA,15.7428,7.56882,36.6588,15.4759,4.60361,11.1509,NA,11.1216,57.8375,39.633,12.3403,10.277,7.12164,16.5155,14.0532,41.6059,14.4622,39.0362,85.7104,50.7549,9.44649,39.9028,20.6052,47.8427,3.22108,42.372,4.721875,18.4128,59.7032,88.7055,14.8006,17.6601,4.66311,86.1498,7.65876,6.71685,24.43,NA,15.8256,48.1945,7.63525,84.3927,63.6951,21.5709,96.4832,25.1335,59.4554,59.1626,52.3536,3.89307
"6",24.3165,23.8628,29.58,21.4444,NA,NA,NA,23.1083,NA,29.2008,14.6755,3.07609,27.3404,2.8727,17.7665,30.8868,5.53386,18.0954,22.3345,10.0855,28.941,23.7666,7.25819,NA,83.6393,49.0623,72.3898,7.34514,NA,31.6413,9.09806,41.4544,11.6279,6.54068,20.3965,NA,11.4147,71.6715,41.0128,17.9082,14.3092,8.03487,15.859,12.206,55.7847,10.7255,39.0461,87.3933,44.1928,10.2496,27.9911,23.2539,56.2122,3.09927,49.3241,5.44602,13.1647,63.3499,97.7838,14.8359,22.1175,4.99441,85.7706,31.8435,8.23802,24.3451,NA,18.264,39.7412,9.48065,80.5983,61.6929,24.2298,95.4832,22.3404,86.968,63.3439,60.0349,5.39764
"7",21.6365,17.3971,30.7182,27.2383,NA,NA,NA,22.7123,NA,29.5402,16.4531,10.0671,21.9865,4.50092,20.4028,32.2773,5.87372,20.9124,23.2696,13.2356,28.7082,23.7715,5.88279,NA,84.8826,55.9307,63.3547,9.93537,NA,40.647,6.65675,49.2704,19.1524,4.81559,21.4989,NA,10.2066,88.3583,41.8355,15.6838,13.7497,11.7628,22.7174,15.4028,58.7098,10.4373,49.6729,85.2006,54.3781,14.0423,54.9346,25.184,57.8455,6.53518,61.83475,7.137735,13.6154,NA,89.0458,17.4653,24.2577,4.47563,99.4404,27.3141,9.8324,25.6871,NA,19.9596,42.5421,13.0224,58.2249,73.9605,21.2898,68.7817,22.9881,92.5564,55.823,NA,4.40574
"8",25.6347,21.5364,28.7057,17.7698,NA,NA,NA,22.8312,NA,27.9694,16.5291,5.12383,16.3182,3.11251,16.5166,24.3957,4.83706,9.98212,22.5765,10.4536,29.1329,25.8784,2.14216,NA,86.2538,34.6837,57.7402,7.57186,NA,35.1959,7.92035,48.2715,14.5329,3.6527,12.8193,NA,24.6342,22.8488,29.791,16.5227,10.5047,11.4793,12.3032,11.5375,27.7025,14.7458,52.0654,28.6126,22.9004,10.9213,11.8696,23.8141,47.3352,4.70464,39.1444,6.7811,8.56404,15.9694,89.4353,13.366,14.312,3.57906,86.5498,34.4713,6.27509,22.4343,90.9334,14.2936,41.6645,14.4354,20.4734,68.237,13.4993,27.0727,61.6499,88.309,56.8704,19.5752,7.43934
"9",25.7871,21.0371,21.9197,19.2997,NA,NA,NA,27.5772,NA,27.507,18.5891,8.33375,14.163,3.55997,17.5012,30.7373,2.21165,11.2481,21.016,16.4936,28.5627,15.2883,2.59146,NA,69.7582,28.7863,58.766,3.60964,NA,35.0043,11.3071,21.5654,11.8983,4.87052,19.8457,NA,51.4254,21.9132,25.8112,17.2332,12.9611,10.4981,16.9578,12.2406,30.9824,6.79761,52.4969,27.5164,38.6469,7.28543,12.0001,26.6578,55.6524,3.7039,38.06145,7.07935,11.821,19.1796,24.6357,16.693,7.4166,1.96661,25.6213,24.7741,10.6645,26.9417,92.7452,18.3676,39.9535,20.0547,37.7807,75.4886,22.3036,24.6173,68.8296,26.8615,55.9743,18.3371,8.50022
"10",26.2986,22.94,29.883,24.5012,NA,NA,NA,26.7933,NA,27.3681,18.2078,13.2525,23.4913,2.75924,23.0934,33.5553,4.75586,10.4494,25.7909,18.5601,27.4915,16.9229,1.82143,NA,93.3288,60.5524,75.8079,11.5501,NA,41.0148,9.87118,51.0443,24.9703,23.134,14.6865,NA,33.1556,39.9004,86.9567,15.5415,11.8837,10.8719,24.8946,83.2112,57.676,19.4317,32.1059,95.2379,47.4109,18.5188,13.6069,83.5251,59.1983,2.41444,64.53,6.750825,14.2832,NA,84.968,13.517,14.1354,2.311,88.9097,22.9045,10.1434,23.5131,85.2558,15.3439,23.8883,NA,79.6279,73.2519,14.2073,93.239,25.796,87.3359,38.0848,18.5086,6.59411
