"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",800,800,800,800,1800,1800,800,1800,2100,800,1800,800,NA,NA,800,800,NA,800,1800,800,800,2600,NA,800,1800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,2600,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,800,1800,2100,1800,800,800,800,800,1800,800,800,800,800,800
"2",800,800,800,800,1800,1800,800,1800,2100,800,1800,800,NA,NA,800,800,NA,800,1800,800,800,2600,NA,800,1800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,2600,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,800,1800,2100,1800,800,800,800,800,1800,800,800,800,800,800
"3",800,800,800,800,1800,1800,800,1800,2100,800,1800,800,NA,NA,800,800,NA,800,1800,800,800,2600,NA,800,1800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,2600,800,800,800,800,800,NA,800,800,1800,800,800,800,800,800,800,800,800,800,1800,2100,1800,800,800,800,800,1800,800,800,800,800,800
"4",800,800,800,800,1800,1800,800,1800,2100,800,1800,1800,NA,NA,800,800,NA,800,1800,2600,800,1800,NA,800,1800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,800,800,800,2600,800,800,800,800,800,800,800,800,1800,1800,2100,800,800,800,800,800,800,800,800,NA,1800,800,800,800,800,1800,800,1800,800,800,800
"5",800,800,800,800,1800,1800,800,1800,2100,800,1800,1800,NA,NA,800,800,NA,800,1800,2600,800,1800,NA,800,1800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,800,800,800,2600,800,800,800,800,800,800,800,800,1800,1800,2100,800,800,800,800,800,800,800,800,NA,1800,800,800,800,800,1800,800,1800,800,800,800
"6",800,800,800,800,1800,1800,800,1800,2100,800,1800,1800,NA,NA,800,800,NA,800,1800,2600,800,1800,NA,800,1800,800,800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,800,800,800,800,2600,800,800,800,800,800,NA,800,800,1800,1800,2100,800,800,800,800,800,800,800,800,NA,1800,800,800,800,800,1800,800,1800,800,800,800
"7",800,800,800,1800,1800,1800,800,800,2100,1800,1800,800,NA,NA,800,800,NA,800,1800,2600,800,1800,NA,800,1800,800,1800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,2100,800,800,800,800,800,800,800,2600,800,800,800,800,800,NA,800,800,1800,800,2100,800,800,800,800,800,800,NA,1800,NA,1800,800,1800,800,800,1800,800,1800,800,800,2100
"8",800,800,800,1800,1800,1800,800,800,2100,1800,1800,800,NA,NA,800,800,NA,800,1800,2600,800,1800,NA,800,1800,800,1800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,2100,800,800,800,800,800,800,800,2600,800,800,800,800,800,2600,800,800,1800,800,2100,800,800,800,800,800,800,NA,1800,NA,1800,800,1800,800,800,1800,800,1800,800,800,2100
"9",800,800,800,1800,1800,1800,800,800,2100,1800,1800,800,NA,NA,800,800,NA,800,1800,2600,800,1800,NA,800,1800,800,1800,1800,800,800,800,800,800,800,800,800,1800,800,800,800,2100,800,800,800,800,800,800,800,2600,800,800,800,800,800,2600,800,800,1800,800,2100,800,800,800,800,800,800,NA,1800,NA,1800,800,1800,800,800,1800,800,1800,800,800,2100
"10",800,800,800,800,1800,1800,800,1800,2100,1800,1800,800,NA,NA,800,800,NA,2600,1800,2600,800,NA,NA,800,1800,800,2600,1800,800,800,800,800,800,800,800,800,1800,800,800,800,800,800,800,800,2600,800,800,800,1800,800,800,1800,800,800,800,800,800,1800,800,2100,800,1800,800,2600,800,800,800,1800,NA,1800,800,800,800,800,1800,800,1800,800,800,800
