"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",25.9126,25.2251,6.89263,25.7741,NA,NA,NA,26.8795,NA,24.1425,4.43065,10.5783,7.54666,23.555,27.5327,NA,5.38022,19.2222,24.7803,11.4274,3.81679,29.0541,3.77509,6.41776,2.0727,12.6516,11.0376,16.8982,11.0395,NA,24.8449,9.28422,14.9366,13.3992,NA,4.36141,NA,17.4419,14.4041,20.0604,11.1101,13.1931,5.49931,25.7821,12.8199,32.8565,36.5832,4.9504,68.1094,11.8267,37.3335,14.8366,25.9378,15.0327,NA,8.163335,11.8595,NA,2.31594,17.7317,23.4336,24.1917,14.0523,22.2951,28.5608,20.6329,12.0774,61.7126,NA,41.6598,12.3939,56.9151,4.75059,10.0425,33.9428,16.1718,8.66021,20.9371,18.3861,33.9441
"2",23.7957,24.5226,3.00942,26.4213,NA,NA,NA,3.04938,NA,32.6457,17.3931,5.39739,6.64254,20.7217,24.1786,NA,6.10933,21.2192,14.9403,9.91203,2.9196,25.6447,6.12063,9.62592,NA,3.01664,12.9066,19.2626,11.809,NA,30.4364,11.4436,11.5473,13.5948,NA,5.88052,NA,19.3941,7.99949,21.0589,11.4524,14.8652,11.1255,23.6646,11.8532,21.6461,37.0176,2.45766,73.3852,6.51692,28.2719,12.3736,26.1151,18.8266,NA,10.59471,7.78933,69.4899,NA,17.3092,18.1392,22.4668,15.3132,18.398,36.3024,23.6489,NA,55.0435,NA,44.6081,14.5844,53.2462,6.93483,7.28885,46.5853,11.0561,NA,20.5103,6.28754,37.2402
"3",23.7346,27.0333,4.44334,18.0981,NA,NA,NA,16.1419,NA,26.3219,3.07487,27.6968,9.02067,23.2573,24.6376,NA,5.50071,8.82451,25.4555,28.5946,4.033,20.4311,4.01723,8.61257,NA,5.62083,14.5653,17.8819,7.45775,NA,23.5896,16.7465,10.4108,51.3493,NA,8.34871,NA,31.578,6.66312,20.2251,12.8601,7.472,7.47424,23.2264,2.35796,10.1245,24.4348,3.04332,80.1683,5.20689,32.2759,7.21751,25.3226,20.293,NA,13.97515,8.51141,27.8462,NA,13.4016,22.7593,19.7331,8.16368,17.613,38.0705,21.9843,NA,57.5658,NA,9.93461,7.32552,37.2065,6.4409,8.42498,71.4116,13.2971,NA,17.6725,11.6664,33.634
"4",30.0655,13.4399,8.18081,29.1883,NA,NA,NA,7.71063,NA,29.363,20.9853,4.67484,9.16846,24.5715,28.5748,23.9059,12.1603,21.1531,23.3871,30.3604,4.15088,25.1952,6.13809,9.81017,NA,11.9052,20.0533,25.8962,7.98644,NA,38.7565,15.3695,15.3697,74.051,NA,6.96257,NA,33.2827,15.8378,22.5855,7.85859,16.1507,13.7067,18.6609,15.2021,11.0585,46.8537,5.53847,76.0137,13.3354,31.5837,13.3335,29.4245,22.0623,NA,18.8828,13.1462,NA,NA,15.1762,20.1979,29.9458,12.8578,24.9961,33.5989,24.3166,NA,26.0868,NA,39.1039,12.3706,55.4559,17.4477,15.2468,84.4292,16.1841,NA,20.6767,24.2143,15.5562
"5",21.5065,18.3167,4.2108,24.7788,NA,NA,NA,7.73864,NA,13.5981,21.2946,11.6715,3.61867,15.4335,19.7099,23.4933,4.36806,19.0108,31.4758,30.4532,4.41658,23.9053,4.99947,11.5236,NA,6.36819,85.2901,19.9839,13.4819,NA,8.57671,11.0231,9.60056,20.6943,10.6092,3.82298,NA,27.6348,3.62801,20.7939,14.3434,16.2787,8.16447,21.7997,3.15213,6.47642,25.5402,2.73684,70.2777,13.0777,23.2197,10.993,22.6562,45.6878,1.09094,8.66185,10.8351,51.0368,7.53521,17.2319,16.8481,11.9282,13.4365,19.8279,31.4229,15.8828,NA,54.0496,NA,45.7369,13.6419,45.1033,17.1855,7.5841,65.2763,13.1083,26.0237,18.2385,12.8341,11.7098
"6",19.1122,28.0403,6.74196,21.8702,NA,NA,NA,9.20619,NA,12.713,24.6966,27.9345,3.44623,18.4546,25.1204,22.6665,8.56889,19.8091,28.7859,23.6066,4.62655,29.1919,4.42412,8.08318,NA,6.04149,129.726,18.8839,7.66233,NA,26.5552,10.89,13.7342,6.46185,9.5635,10.5742,NA,25.1692,6.3729,21.3496,11.7682,14.6757,5.57636,18.5173,12.1153,21.5235,26.9845,2.81937,73.5926,3.88034,32.6013,10.4993,23.7558,17.2572,NA,15.3792,9.66777,45.5499,7.30638,8.32036,19.8926,11.4016,12.4672,21.3487,38.9683,25.5202,NA,66.3532,NA,12.2602,9.74183,26.0762,17.8622,13.2755,82.593,14.6647,17.3666,17.4763,22.7943,13.5389
"7",26.0325,28.642,8.74512,23.1029,NA,NA,NA,8.56438,NA,10.481,1.51338,28.473,7.61434,20.2439,28.9965,27.3919,11.8211,23.0845,26.867,26.2189,4.74998,27.1255,5.58117,13.9693,NA,12.0381,107.951,20.6906,11.7327,NA,37.8086,18.6363,16.9138,36.0689,15.7091,15.9187,NA,48.934,15.4077,24.8991,10.9943,15.6912,16.3586,21.5773,14.4582,23.6863,41.0001,10.4661,77.8859,18.0881,45.2544,12.6056,25.0162,25.9974,NA,21.68305,9.84238,NA,7.68296,21.9462,25.0159,29.3617,15.5415,22.6544,34.022,23.4202,NA,63.8774,NA,47.4376,21.9104,128.001,22.1311,14.7492,65.0585,16.8965,30.4354,22.41,23.011,NA
"8",22.7875,25.8166,2.45028,25.3808,NA,NA,NA,9.37787,NA,11.3358,2.00776,19.9582,4.44858,17.2838,17.8137,23.3788,4.46941,20.7582,21.2796,6.89383,3.20829,24.74,3.77067,3.64293,NA,9.68985,10.5319,18.6841,12.1508,NA,14.146,11.5964,10.4771,17.8231,9.68558,9.1313,NA,24.4961,3.46016,18.8941,12.2979,15.119,9.35232,21.8553,33.7594,7.30212,39.2664,6.64372,29.925,7.26445,18.2093,9.08776,21.775,14.9214,NA,19.3786,6.70166,31.0457,8.51921,16.3992,22.1738,16.2805,8.46871,21.6683,27.9532,23.4817,18.3447,27.6063,NA,37.4205,16.0319,48.8825,16.0056,15.7152,78.6051,14.0255,35.8104,20.6771,21.9762,34.5549
"9",8.7264,17.0177,5.53633,26.2773,NA,NA,NA,3.64121,NA,5.82039,15.4646,29.0001,4.35548,16.7376,27.2139,25.6176,4.87283,4.62927,27.597,14.8853,3.82174,26.7008,4.86869,7.81816,NA,4.11548,10.6864,20.2985,11.8366,NA,12.1689,8.81896,12.528,23.4788,10.2782,7.95356,NA,25.6005,2.9057,18.4889,10.4681,15.7414,9.69134,20.3021,45.3137,14.6555,36.3772,2.6373,57.5586,8.12278,27.4767,25.8201,81.7671,14.6709,1.71666,11.83435,12.0083,38.7723,5.35372,14.304,23.9456,45.6465,10.7562,35.1666,34.2566,26.0747,22.0739,33.264,NA,34.735,25.3763,45.6755,15.3695,7.076,62.0115,15.8615,31.1158,14.8642,20.5673,34.0438
"10",28.5255,25.0711,8.69864,28.556,NA,NA,NA,12.5133,NA,7.08905,18.4101,25.8965,10.5967,16.3878,28.8573,26.3118,10.465,14.9245,28.6473,30.9451,4.85614,17.8486,4.69544,12.521,NA,14.5855,86.0457,24.9041,13.491,NA,36.6821,17.5683,19.6842,30.0597,12.9299,8.72407,NA,33.6576,7.5572,23.2872,13.5016,17.6008,11.7368,24.0174,50.1541,22.1075,46.9331,13.1374,70.5119,14.5484,39.7459,42.6991,60.9541,13.6573,NA,23.25075,10.6935,NA,6.82946,19.8929,29.2026,57.5133,16.5966,27.9445,31.4735,24.4339,21.5528,66.8205,NA,38.269,7.66606,47.5671,16.9044,15.5455,88.983,15.0914,24.6685,22.0901,17.9409,33.1638
