"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",17.3129,17.5196,8.2037,15.5728,NA,NA,NA,27.5625,NA,15.5375,25.2994,19.1997,NA,2.78591,18.3582,NA,1.11451,13.796,22.6486,15.9742,5.65169,1.23323,NA,4.19016,8.39055,16.5958,13.9416,18.8792,1.23988,NA,13.0995,5.96036,16.7819,13.5222,NA,4.20223,NA,8.78967,4.29741,18.6846,4.84885,11.9791,9.89966,20.5275,18.6176,14.1299,18.0205,3.64062,21.8505,13.2791,16.4544,9.57164,21.2088,17.5992,NA,9.58114,7.27935,NA,9.58264,12.2913,16.3832,18.72,9.93228,14.0926,16.7598,18.909,5.94881,27.3342,NA,11.2836,7.74931,18.6632,9.86473,15.3572,22.0833,13.7172,5.48992,10.2766,10.9896,14.8144
"2",17.3484,18.7658,6.40367,14.8821,NA,NA,NA,22.0195,NA,18.7378,15.9447,22.8997,1.16947,2.99941,12.3387,NA,1.0641,13.3885,21.1111,1.43996,5.35517,1.04744,NA,4.2468,NA,9.77734,13.5329,18.5917,NA,NA,12.8334,5.9762,11.0202,9.82256,NA,4.2607,NA,10.5203,4.7471,18.9402,4.75961,14.57,8.68237,15.3215,17.3424,10.5925,13.4295,1.60806,20.7892,12.7691,13.3513,9.94321,20.568,13.6109,NA,7.38215,8.40895,21.9168,NA,7.57521,12.8689,17.8223,10.8149,15.1293,16.1638,20.1637,NA,19.5742,NA,9.43611,8.61815,16.6477,6.04101,14.0601,23.7037,7.91904,NA,6.43672,8.39672,17.5428
"3",17.2914,18.3241,5.89805,16.3783,NA,NA,NA,28.6057,NA,15.8669,4.09883,11.2166,1.02221,1.914,15.4752,NA,2.80374,13.4242,15.8314,1.21306,7.54561,7.77571,1.10354,3.56729,NA,13.8295,15.4928,17.9971,NA,NA,12.3862,4.38347,16.674,9.62752,NA,5.4443,NA,18.8942,6.43615,17.1551,6.78504,9.9944,6.61342,15.2387,14.8504,11.3569,17.47,2.83337,24.4358,8.56526,14.9252,7.17451,19.1214,16.1715,NA,9.71832,6.54139,23.4237,NA,15.0646,13.5572,13.6958,12.0846,12.1626,18.0051,18.1288,NA,29.2061,NA,7.99816,10.368,18.2151,11.0384,14.0737,32.3585,7.4623,NA,5.93895,8.06698,17.5356
"4",19.2805,19.0775,10.1966,12.765,NA,NA,NA,17.9947,NA,17.3919,19.7173,19.8962,NA,1.66805,15.6115,14.026,2.61544,14.5491,16.7672,2.04022,7.69198,7.26694,1.09375,3.92982,NA,16.9986,17.0985,19.0032,1.01122,NA,16.3244,7.37528,15.179,15.2352,NA,4.55981,NA,11.7952,6.62979,20.6788,5.56848,14.3782,10.9171,19.6451,19.0828,12.4652,19.979,5.76283,24.5791,15.5196,17.4311,12.5203,19.9985,17.4374,NA,10.76091,8.69917,NA,NA,18.291,15.2354,15.9768,10.6004,18.0805,19.1844,19.1417,NA,19.4963,NA,12.3778,12.6424,17.9853,14.4156,16.901,28.5029,10.5061,NA,6.46979,11.9452,2.45647
"5",16.1381,20.4766,6.66286,13.6706,NA,NA,NA,9.21551,NA,10.2156,21.0885,15.1676,NA,2.55389,14.0122,16.5516,1.53381,13.3211,17.8036,2.50489,5.21718,3.40064,1.05298,3.20604,NA,14.2036,31.0917,17.8016,1.59632,NA,8.35645,5.15154,11.5173,11.9149,5.71273,3.81523,NA,11.7378,6.57294,19.6191,5.02824,13.0147,6.36984,15.1879,10.5979,10.5175,16.513,1.80034,20.5207,12.2775,14.0481,12.4433,19.3098,19.0584,NA,6.900345,8.36829,13.529,17.1751,17.6078,12.0968,7.1623,14.9568,16.7862,17.4273,15.897,NA,30.2252,NA,11.9356,7.62596,17.7402,5.89834,7.10721,28.8362,11.938,2.40574,5.16471,8.83192,1.68972
"6",16.5914,16.4729,5.87594,20.0602,NA,NA,NA,9.71268,NA,19.9618,19.487,16.4414,NA,2.07229,15.4453,10.0614,2.86019,13.3327,17.1152,3.20782,5.47291,7.24739,1.09126,2.61189,NA,13.5948,33.4932,16.3239,NA,NA,12.4473,6.3777,15.4926,12.2727,7.27319,6.06032,NA,12.8621,5.08851,19.2568,3.79171,14.8309,5.49876,18.8684,17.8415,13.0052,16.3266,6.9708,23.1339,8.76777,17.7271,8.3226,19.9587,18.1958,NA,11.366575,8.50871,23.1872,13.5339,17.6285,10.2912,13.6229,6.87344,11.5129,17.5008,16.2628,NA,23.8078,NA,7.62601,8.89566,7.50067,14.0892,2.66687,28.9333,12.3724,2.37591,5.794,8.12123,2.31738
"7",17.1542,20.9538,8.50683,22.8938,NA,NA,NA,8.71603,NA,23.9757,27.0351,17.3127,NA,1.75166,18.8243,12.7137,1.2813,17.4427,21.5337,2.5765,6.20737,12.9651,1.17139,4.42601,NA,10.3795,32.8556,18.6241,1.6536,NA,14.203,4.73783,12.7869,14.9727,7.67951,8.6114,NA,19.9552,10.9772,20.002,2.92254,15.5089,10.1658,20.2193,16.848,19.7222,18.5853,7.3643,22.7761,15.8413,18.8803,11.7305,20.2243,17.9242,NA,11.34546,9.37267,NA,17.9946,18.8352,14.713,20.5223,6.4867,18.0782,16.9917,18.6307,NA,29.8419,NA,10.1573,12.7645,29.5446,15.6615,13.411,32.8351,16.2282,2.88694,7.71865,10.6969,NA
"8",17.1555,20.0646,5.87718,16.0008,NA,NA,NA,8.53438,NA,22.3586,20.3087,12.3615,1.01444,2.28046,13.981,14.6284,3.18449,13.0168,21.1778,4.54326,5.43893,1.21588,1.05492,3.95928,NA,14.2667,13.0391,18.6428,NA,NA,9.03809,2.87455,9.93675,14.5141,5.50797,5.87344,NA,15.3467,3.77664,16.5654,6.55706,14.4524,7.29921,15.7371,33.8183,14.2067,16.0709,7.95183,18.8581,13.007,15.094,11.0271,17.3569,15.3561,NA,12.61477,6.9494,27.5656,17.5861,15.5719,13.8349,16.7631,9.41696,13.3701,13.4373,17.7794,9.49167,18.0921,NA,7.50957,9.74855,15.0501,13.374,7.75248,28.4527,10.8949,2.24622,5.95531,10.3861,17.228
"9",11.4409,16.6016,8.44311,14.5782,NA,NA,NA,22.8318,NA,22.1023,18.8466,16.4563,NA,2.04235,17.0174,13.7736,3.02857,17.0379,21.9356,5.34186,6.21747,NA,1.08259,4.0693,NA,14.7605,15.1161,17.942,NA,NA,13.7882,3.6586,9.56254,12.7815,6.84894,6.58087,NA,16.423,2.96393,19.8203,6.06561,9.22009,5.55554,18.3203,35.6242,16.6464,13.3438,7.36367,19.2609,12.8627,17.3222,11.2362,15.7062,16.2894,NA,11.691035,8.62022,21.6178,8.73429,18.0148,15.2041,28.489,9.45708,5.47428,17.1884,20.3752,11.3147,13.9266,NA,8.79502,6.17997,15.8582,13.2924,5.07803,31.9266,9.10542,1.96577,6.42365,6.99668,16.1408
"10",15.7082,20.1346,10.1294,18.2539,NA,NA,NA,23.1393,NA,18.1724,16.0319,17.4376,1.3225,2.11375,18.2917,18.8823,2.77474,17.2421,22.1031,1.49749,7.54794,2.56016,1.00559,5.77552,NA,18.7154,31.9888,21.7285,1.71141,NA,15.3225,6.63392,13.7361,16.7597,9.72849,7.83299,NA,20.6297,2.42462,19.3105,7.05911,10.1549,4.67826,19.6016,36.7121,20.4288,20.7138,12.3932,19.2006,15.7966,20.1691,11.7837,20.6839,16.778,NA,13.30977,10.622,NA,9.39815,18.4554,13.3754,31.2292,12.0243,3.12311,19.3827,19.6464,10.8807,27.2831,NA,6.38376,7.10676,16.8767,16.472,11.7544,32.0225,11.0578,2.70368,12.0291,10.8535,15.746
